Kode,Nama Perusahaan
AALI,Astra Agro Lestari Tbk.
ABBA,Mahaka Media Tbk.
ABDA,Asuransi Bina Dana Arta Tbk.
ABMM,ABM Investama Tbk.
ACES,Aspirasi Hidup Indonesia Tbk.
ACRO,Samcro Hyosung Adilestari Tbk.
ACST,Acset Indonusa Tbk.
ADCP,Adhi Commuter Properti Tbk.
ADES,Akasha Wira International Tbk.
ADHI,Adhi Karya (Persero) Tbk.
ADMF,Adira Dinamika Multi Finance T
ADMG,Polychem Indonesia Tbk
ADMR,Adaro Minerals Indonesia Tbk.
ADRO,Adaro Energy Indonesia Tbk.
AEGS,Anugerah Spareparts Sejahtera 
AGAR,Asia Sejahtera Mina Tbk.
AGII,Samator Indo Gas Tbk.
AGRO,Bank Raya Indonesia Tbk.
AGRS,Bank IBK Indonesia Tbk.
AHAP,Asuransi Harta Aman Pratama Tb
AIMS,Artha Mahiya Investama Tbk.
AISA,FKS Food Sejahtera Tbk.
AKKU,Anugerah Kagum Karya Utama Tbk
AKPI,Argha Karya Prima Industry Tbk
AKRA,AKR Corporindo Tbk.
AKSI,Mineral Sumberdaya Mandiri Tbk
ALDO,Alkindo Naratama Tbk.
ALII,Ancara Logistics Indonesia Tbk
ALKA,Alakasa Industrindo Tbk
ALMI,Alumindo Light Metal Industry 
ALTO,Tri Banyan Tirta Tbk.
AMAG,Asuransi Multi Artha Guna Tbk.
AMAN,Makmur Berkah Amanda Tbk.
AMAR,Bank Amar Indonesia Tbk.
AMFG,Asahimas Flat Glass Tbk.
AMIN,Ateliers Mecaniques D Indonesi
AMMN,Amman Mineral Internasional Tb
AMMS,Agung Menjangan Mas Tbk.
AMOR,Ashmore Asset Management Indon
AMRT,Sumber Alfaria Trijaya Tbk.
ANDI,Andira Agro Tbk.
ANJT,Austindo Nusantara Jaya Tbk.
ANTM,Aneka Tambang Tbk.
APEX,Apexindo Pratama Duta Tbk.
APIC,Pacific Strategic Financial Tb
APII,Arita Prima Indonesia Tbk.
APLI,Asiaplast Industries Tbk.
APLN,Agung Podomoro Land Tbk.
ARCI,Archi Indonesia Tbk.
AREA,Dunia Virtual Online Tbk.
ARGO,Argo Pantes Tbk
ARII,Atlas Resources Tbk.
ARKA,Arkha Jayanti Persada Tbk.
ARKO,Arkora Hydro Tbk.
ARMY,Armidian Karyatama Tbk.
ARNA,Arwana Citramulia Tbk.
ARTA,Arthavest Tbk
ARTI,Ratu Prabu Energi Tbk
ARTO,Bank Jago Tbk.
ASBI,Asuransi Bintang Tbk.
ASDM,Asuransi Dayin Mitra Tbk.
ASGR,Astra Graphia Tbk.
ASHA,Cilacap Samudera Fishing Indus
ASII,Astra International Tbk.
ASJT,Asuransi Jasa Tania Tbk.
ASLC,Autopedia Sukses Lestari Tbk.
ASLI,Asri Karya Lestari Tbk.
ASMI,Asuransi Maximus Graha Persada
ASPI,Andalan Sakti Primaindo Tbk.
ASRI,Alam Sutera Realty Tbk.
ASRM,Asuransi Ramayana Tbk.
ASSA,Adi Sarana Armada Tbk.
ATAP,Trimitra Prawara Goldland Tbk.
ATIC,Anabatic Technologies Tbk.
ATLA,Atlantis Subsea Indonesia Tbk.
AUTO,Astra Otoparts Tbk.
AVIA,Avia Avian Tbk.
AWAN,Era Digital Media Tbk.
AXIO,Tera Data Indonusa Tbk.
AYAM,Janu Putra Sejahtera Tbk.
AYLS,Agro Yasa Lestari Tbk.
BABP,Bank MNC Internasional Tbk.
BABY,Multitrend Indo Tbk.
BACA,Bank Capital Indonesia Tbk.
BAIK,Bersama Mencapai Puncak Tbk.
BAJA,Saranacentral Bajatama Tbk.
BALI,Bali Towerindo Sentra Tbk.
BANK,Bank Aladin Syariah Tbk.
BAPA,Bekasi Asri Pemula Tbk.
BAPI,Bhakti Agung Propertindo Tbk.
BATA,Sepatu Bata Tbk.
BATR,Benteng Api Technic Tbk.
BAUT,Mitra Angkasa Sejahtera Tbk.
BAYU,Bayu Buana Tbk
BBCA,Bank Central Asia Tbk.
BBHI,Allo Bank Indonesia Tbk.
BBKP,Bank KB Bukopin Tbk.
BBLD,Buana Finance Tbk.
BBMD,Bank Mestika Dharma Tbk.
BBNI,Bank Negara Indonesia (Persero
BBRI,Bank Rakyat Indonesia (Persero
BBRM,Pelayaran Nasional Bina Buana 
BBSI,Krom Bank Indonesia Tbk.
BBSS,Bumi Benowo Sukses Sejahtera T
BBTN,Bank Tabungan Negara (Persero)
BBYB,Bank Neo Commerce Tbk.
BCAP,MNC Kapital Indonesia Tbk.
BCIC,Bank JTrust Indonesia Tbk.
BCIP,Bumi Citra Permai Tbk.
BDKR,Berdikari Pondasi Perkasa Tbk.
BDMN,Bank Danamon Indonesia Tbk.
BEBS,Berkah Beton Sadaya Tbk.
BEEF,Estika Tata Tiara Tbk.
BEER,Jobubu Jarum Minahasa Tbk.
BEKS,Bank Pembangunan Daerah Banten
BELI,Global Digital Niaga Tbk.
BELL,Trisula Textile Industries Tbk
BESS,Batulicin Nusantara Maritim Tb
BEST,Bekasi Fajar Industrial Estate
BFIN,BFI Finance  Indonesia Tbk.
BGTG,Bank Ganesha Tbk.
BHAT,Bhakti Multi Artha Tbk.
BHIT,MNC Asia Holding Tbk.
BIKA,Binakarya Jaya Abadi Tbk.
BIKE,Sepeda Bersama Indonesia Tbk.
BIMA,Primarindo Asia Infrastructure
BINA,Bank Ina Perdana Tbk.
BINO,Perma Plasindo Tbk.
BIPI,Astrindo Nusantara Infrastrukt
BIPP,Bhuwanatala Indah Permai Tbk.
BIRD,Blue Bird Tbk.
BISI,BISI International Tbk.
BJBR,Bank Pembangunan Daerah Jawa B
BJTM,Bank Pembangunan Daerah Jawa T
BKDP,Bukit Darmo Property Tbk
BKSL,Sentul City Tbk.
BKSW,Bank QNB Indonesia Tbk.
BLTA,Berlian Laju Tanker Tbk
BLTZ,Graha Layar Prima Tbk.
BLUE,Berkah Prima Perkasa Tbk.
BMAS,Bank Maspion Indonesia Tbk.
BMBL,Lavender Bina Cendikia Tbk.
BMHS,Bundamedik Tbk.
BMRI,Bank Mandiri (Persero) Tbk.
BMSR,Bintang Mitra Semestaraya Tbk
BMTR,Global Mediacom Tbk.
BNBA,Bank Bumi Arta Tbk.
BNBR,Bakrie & Brothers Tbk
BNGA,Bank CIMB Niaga Tbk.
BNII,Bank Maybank Indonesia Tbk.
BNLI,Bank Permata Tbk.
BOBA,Formosa Ingredient Factory Tbk
BOGA,Bintang Oto Global Tbk.
BOLA,Bali Bintang Sejahtera Tbk.
BOLT,Garuda Metalindo Tbk.
BOSS,Borneo Olah Sarana Sukses Tbk.
BPFI,Woori Finance Indonesia Tbk.
BPII,Batavia Prosperindo Internasio
BPTR,Batavia Prosperindo Trans Tbk.
BRAM,Indo Kordsa Tbk.
BREN,Barito Renewables Energy Tbk.
BRIS,Bank Syariah Indonesia Tbk.
BRMS,Bumi Resources Minerals Tbk.
BRNA,Berlina Tbk.
BRPT,Barito Pacific Tbk.
BSBK,Wulandari Bangun Laksana Tbk.
BSDE,Bumi Serpong Damai Tbk.
BSIM,Bank Sinarmas Tbk.
BSML,Bintang Samudera Mandiri Lines
BSSR,Baramulti Suksessarana Tbk.
BSWD,Bank Of India Indonesia Tbk.
BTEK,Bumi Teknokultura Unggul Tbk
BTEL,Bakrie Telecom Tbk.
BTON,Betonjaya Manunggal Tbk.
BTPN,Bank BTPN Tbk.
BTPS,Bank BTPN Syariah Tbk.
BUAH,Segar Kumala Indonesia Tbk.
BUDI,Budi Starch & Sweetener Tbk.
BUKA,Bukalapak.com Tbk.
BUKK,Bukaka Teknik Utama Tbk.
BULL,Buana Lintas Lautan Tbk.
BUMI,Bumi Resources Tbk.
BUVA,Bukit Uluwatu Villa Tbk.
BVIC,Bank Victoria International Tb
BWPT,Eagle High Plantations Tbk.
BYAN,Bayan Resources Tbk.
CAKK,Cahayaputra Asa Keramik Tbk.
CAMP,Campina Ice Cream Industry Tbk
CANI,Capitol Nusantara Indonesia Tb
CARE,Metro Healthcare Indonesia Tbk
CARS,Industri dan Perdagangan Bintr
CASA,Capital Financial Indonesia Tb
CASH,Cashlez Worldwide Indonesia Tb
CASS,Cardig Aero Services Tbk.
CBMF,Cahaya Bintang Medan Tbk.
CBPE,Citra Buana Prasida Tbk.
CBRE,Cakra Buana Resources Energi T
CBUT,Citra Borneo Utama Tbk.
CCSI,Communication Cable Systems In
CEKA,Wilmar Cahaya Indonesia Tbk.
CENT,Centratama Telekomunikasi Indo
CFIN,Clipan Finance Indonesia Tbk.
CGAS,Citra Nusantara Gemilang Tbk.
CHEM,Chemstar Indonesia Tbk.
CHIP,Pelita Teknologi Global Tbk.
CINT,Chitose Internasional Tbk.
CITA,Cita Mineral Investindo Tbk.
CITY,Natura City Developments Tbk.
CLAY,Citra Putra Realty Tbk.
CLEO,Sariguna Primatirta Tbk.
CLPI,Colorpak Indonesia Tbk.
CMNP,Citra Marga Nusaphala Persada 
CMNT,Cemindo Gemilang Tbk.
CMPP,AirAsia Indonesia Tbk.
CMRY,Cisarua Mountain Dairy Tbk.
CNKO,Exploitasi Energi Indonesia Tb
CNMA,Nusantara Sejahtera Raya Tbk.
CNTX,Century Textile Industry Tbk.
COAL,Black Diamond Resources Tbk.
COCO,Wahana Interfood Nusantara Tbk
COWL,Cowell Development Tbk.
CPIN,Charoen Pokphand Indonesia Tbk
CPRI,Capri Nusa Satu Properti Tbk.
CPRO,Central Proteina Prima Tbk.
CRAB,Toba Surimi Industries Tbk.
CRSN,Carsurin Tbk.
CSAP,Catur Sentosa Adiprana Tbk.
CSIS,Cahayasakti Investindo Sukses 
CSMI,Cipta Selera Murni Tbk.
CSRA,Cisadane Sawit Raya Tbk.
CTBN,Citra Tubindo Tbk.
CTRA,Ciputra Development Tbk.
CTTH,Citatah Tbk.
CUAN,Petrindo Jaya Kreasi Tbk.
CYBR,ITSEC Asia Tbk.
DADA,Diamond Citra Propertindo Tbk.
DART,Duta Anggada Realty Tbk.
DATA,Remala Abadi Tbk.
DAYA,Duta Intidaya Tbk.
DCII,DCI Indonesia Tbk.
DEAL,Dewata Freightinternational Tb
DEFI,Danasupra Erapacific Tbk.
DEPO,Caturkarda Depo Bangunan Tbk.
DEWA,Darma Henwa Tbk
DEWI,Dewi Shri Farmindo Tbk.
DFAM,Dafam Property Indonesia Tbk.
DGIK,Nusa Konstruksi Enjiniring Tbk
DGNS,Diagnos Laboratorium Utama Tbk
DIGI,Arkadia Digital Media Tbk.
DILD,Intiland Development Tbk.
DIVA,Distribusi Voucher Nusantara T
DKFT,Central Omega Resources Tbk.
DLTA,Delta Djakarta Tbk.
DMAS,Puradelta Lestari Tbk.
DMMX,Digital Mediatama Maxima Tbk.
DMND,Diamond Food Indonesia Tbk.
DNAR,Bank Oke Indonesia Tbk.
DNET,Indoritel Makmur Internasional
DOID,Delta Dunia Makmur Tbk.
DOOH,Era Media Sejahtera Tbk.
DPNS,Duta Pertiwi Nusantara Tbk.
DPUM,Dua Putra Utama Makmur Tbk.
DRMA,Dharma Polimetal Tbk.
DSFI,Dharma Samudera Fishing Indust
DSNG,Dharma Satya Nusantara Tbk.
DSSA,Dian Swastatika Sentosa Tbk
DUCK,Jaya Bersama Indo Tbk.
DUTI,Duta Pertiwi Tbk
DVLA,Darya-Varia Laboratoria Tbk.
DWGL,Dwi Guna Laksana Tbk.
DYAN,Dyandra Media International Tb
EAST,Eastparc Hotel Tbk.
ECII,Electronic City Indonesia Tbk.
EDGE,Indointernet Tbk.
EKAD,Ekadharma International Tbk.
ELIT,Data Sinergitama Jaya Tbk.
ELPI,Pelayaran Nasional Ekalya Purn
ELSA,Elnusa Tbk.
ELTY,Bakrieland Development Tbk.
EMDE,Megapolitan Developments Tbk.
EMTK,Elang Mahkota Teknologi Tbk.
ENAK,Champ Resto Indonesia Tbk.
ENRG,Energi Mega Persada Tbk.
ENVY,Envy Technologies Indonesia Tb
ENZO,Morenzo Abadi Perkasa Tbk.
EPAC,Megalestari Epack Sentosaraya 
EPMT,Enseval Putera Megatrading Tbk
ERAA,Erajaya Swasembada Tbk.
ERAL,Sinar Eka Selaras Tbk.
ERTX,Eratex Djaja Tbk.
ESIP,Sinergi Inti Plastindo Tbk.
ESSA,ESSA Industries Indonesia Tbk.
ESTA,Esta Multi Usaha Tbk.
ESTI,Ever Shine Tex Tbk.
ETWA,Eterindo Wahanatama Tbk
EURO,Estee Gold Feet Tbk.
EXCL,XL Axiata Tbk.
FAPA,FAP Agri Tbk.
FAST,Fast Food Indonesia Tbk.
FASW,Fajar Surya Wisesa Tbk.
FILM,MD Pictures Tbk.
FIMP,Fimperkasa Utama Tbk.
FIRE,Alfa Energi Investama Tbk.
FISH,FKS Multi Agro Tbk.
FITT,Hotel Fitra International Tbk.
FLMC,Falmaco Nonwoven Industri Tbk.
FMII,Fortune Mate Indonesia Tbk
FOLK,Multi Garam Utama Tbk.
FOOD,Sentra Food Indonesia Tbk.
FORU,Fortune Indonesia Tbk
FORZ,Forza Land Indonesia Tbk.
FPNI,Lotte Chemical Titan Tbk.
FREN,Smartfren Telecom Tbk.
FUJI,Fuji Finance Indonesia Tbk.
FUTR,Lini Imaji Kreasi Ekosistem Tb
FWCT,Wijaya Cahaya Timber Tbk.
GAMA,Aksara Global Development Tbk.
GDST,Gunawan Dianjaya Steel Tbk.
GDYR,Goodyear Indonesia Tbk.
GEMA,Gema Grahasarana Tbk.
GEMS,Golden Energy Mines Tbk.
GGRM,Gudang Garam Tbk.
GGRP,Gunung Raja Paksi Tbk.
GHON,Gihon Telekomunikasi Indonesia
GIAA,Garuda Indonesia (Persero) Tbk
GJTL,Gajah Tunggal Tbk.
GLOB,Globe Kita Terang Tbk.
GLVA,Galva Technologies Tbk.
GMFI,Garuda Maintenance Facility Ae
GMTD,Gowa Makassar Tourism Developm
GOLD,Visi Telekomunikasi Infrastruk
GOLL,Golden Plantation Tbk.
GOOD,Garudafood Putra Putri Jaya Tb
GOTO,GoTo Gojek Tokopedia Tbk.
GPRA,Perdana Gapuraprima Tbk.
GPSO,Geoprima Solusi Tbk.
GRIA,Ingria Pratama Capitalindo Tbk
GRPH,Griptha Putra Persada Tbk.
GRPM,Graha Prima Mentari Tbk.
GSMF,Equity Development Investment 
GTBO,Garda Tujuh Buana Tbk
GTRA,Grahaprima Suksesmandiri Tbk.
GTSI,GTS Internasional Tbk.
GULA,Aman Agrindo Tbk.
GWSA,Greenwood Sejahtera Tbk.
GZCO,Gozco Plantations Tbk.
HADE,Himalaya Energi Perkasa Tbk.
